hd_no,province,date_start_ln,date_end_ln,date_start_edh,date_end_edh
HD070105,Bri,43,410,122,300
HD070110,Bri,43,410,122,300
HD070111,Bri,43,410,122,300
HD070112,Bri,43,410,122,300
HD070148,Bri,122,410,122,300
HD070149,Bri,122,410,122,300
HD070152,Bri,122,410,122,300
HD070153,Bri,122,410,122,300
HD070172,Bri,122,410,122,300
HD070173,Bri,122,410,71,130
HD070174,Bri,122,410,122,300
HD070175,Bri,122,410,122,300
HD070177,Bri,122,410,122,300
HD070180,Bri,122,410,122,300
HD070191,Bri,101,410,301,400
HD070192,Bri,101,410,171,300
HD070261,Bri,101,410,101,300
HD070274,Bri,79,410,79,300
HD070292,Bri,120,410,120,300
HD070342,Bri,71,410,101,300
HD070378,Bri,80,410,101,300
HD070379,Bri,80,410,138,230
HD070381,Bri,80,410,138,300
HD070382,Bri,80,410,201,300
HD070385,Bri,80,410,271,330
HD070386,Bri,80,410,271,330
HD070388,Bri,80,410,201,300
HD070389,Bri,80,410,201,300
HD070496,Bri,43,410,101,300
HD070543,Bri,101,410,101,300
HD070608,Bri,122,410,122,300
HD070739,Bri,122,410,201,300
HD070792,Bri,122,410,122,300
HD070838,Bri,122,410,122,300
HD070877,Bri,101,410,101,300
HD070908,Bri,122,410,122,300
HD071151,Bri,122,410,122,300
HD071308,Bri,142,410,142,161
HD071309,Bri,142,410,142,161
HD071310,Bri,142,410,142,161
HD071435,Bri,0,0,101,300
HD071436,Rom?,0,0,51,100
HD071438,Bri,0,0,101,300
HD072546,GeI,0,0,101,300
HD072549,GeI,0,0,201,400
HD072550,GeI,0,0,171,230
HD072551,GeI,0,0,231,300
HD072555,GeI,0,0,201,250
HD072556,GeI,151,200,151,300
HD072558,GeI,0,0,231,270
HD072686,GeS,0,0,70,73
HD072727,Bri,0,0,101,300
HD072942,Bri,122,410,201,300
HD073117,Bri,101,410,101,300
HD073175,Bri,122,410,122,300
HD073206,Bri,101,410,101,300
HD073209,Bri,101,410,101,300
HD073215,Bri,101,410,101,300
HD073216,Bri,101,410,101,300
HD073217,Bri,101,410,101,300
HD073218,Bri,101,410,101,300
HD073219,Bri,101,410,101,300
HD073228,Bri,101,410,101,300
HD073240,Bri,101,410,101,300
HD073253,Bri,101,410,101,300
HD073285,Bri,101,410,101,300
HD073288,Bri,101,410,101,200
HD073290,Bri,101,410,101,300
HD073291,Bri,101,410,101,300
HD073306,Bri,101,410,101,300
HD073307,Bri,101,410,101,300
HD073342,Bri,101,410,101,300
